First name,Last name,Location,Birthday
Sarina,Abbott,"Chicago, IL",9/23/1963
Sebastian,Abbott,"Miami, FL",6/19/2003
Dina,Abshire,"Toronto, ON",2/28/1985
Kyleigh,Ankunding,"Omaha, NE",1/26/1966
Osbaldo,Auer,"Cary, NC",1/1/1998
Pete,Bahringer,"Durham, NC",2-Apr-78
Mackenzie,Barrows,"Chicago, IL",12/3/1975
Fabian,Bartell,"Raleigh, NC",8/6/1996
Jayden,Bartell,"San Diego, CA",1/16/2003
June,Berge,"Raleigh, NC",3/30/1958
Rasheed,Bergnaum,"Boston, MA",25-Apr-60
Megane,Bergstrom,"Raleigh, NC",4/6/1979
Arielle,Blanda,"Cary, NC",9/7/1991
Curtis,Blanda,"Miami, FL",7/15/1962
Madilyn,Blanda,"New York, NY",9/9/1988
Eveline,Boehm,"Phoenix, AZ",18-Jun-78
Grady,Bogisich,"Phoenix, AZ",8/12/1966
Khalil,Borer,"Raleigh, NC",4/2/1966
Luisa,Brakus,"San Diego, CA",1/30/2001
Agustin,Breitenberg,"Phoenix, AZ",23-Mar-65
Christy,Breitenberg,"Raleigh, NC",4/28/1978
Lionel,Brekke,"Cary, NC",28-Feb-65
Joana,Carter,"Boston, MA",7-Jun-04
Kristy,Collier,"Omaha, NE",8/6/1982
Foster,Conn,"Toronto, ON",2-Nov-84
May,Cronin,"Boston, MA",3/11/1980
Greta,Cruickshank,"San Diego, CA",11/15/1965
Alphonso,Cumberland,"New York, NY",23-Oct-88
Burley,Cumberland,"New York, NY",2/8/1970
Liz,Custodian,"Cary, NC",4/27/1996
Gabrielle,D'Amore-Franey,"Toronto, ON",1/1/1960
Ciara,Deckow,"Cary, NC",12/12/1983
Verlie,Donnelly-Hermann,"Cary, NC",8/7/1973
Adrain,Dooley,"Toronto, ON",15-Nov-00
Mary,Emmerich,"Austin, TX",2/1/1965
Chance,Ernser,"Raleigh, NC",6/27/1971
Xander,Ernser,"Austin, TX",8/8/2000
Arnulfo,Fadel,"New York, NY",3/30/1986
Cathrine,Fadel,"Miami, FL",10/28/1977
Eliezer,Feil,"Raleigh, NC",2-Apr-64
Matt,Feil,"San Diego, CA",1/11/1965
Eliezer,Fisher,"Phoenix, AZ",2-Jun-61
Neil,Gleichner,"Omaha, NE",29-Aug-69
Savannah,Goodwin,"New York, NY",1/5/1972
Kade,Grady,"Miami, FL",11/21/1976
Demarco,Greenfelder,"Miami, FL",3/23/1983
Micah,Gulgowski,"San Diego, CA",19-Sep-73
Christop,Gutkowski,"Toronto, ON",3/10/2004
Abelardo,Haag,"Raleigh, NC",9/26/1993
Hettie,Hand,"Durham, NC",8/12/1997
Otho,Harris,"Toronto, ON",6/8/2003
Rahsaan,Hartmann,"Omaha, NE",12-Nov-82
Mittie,Heathcote,"Durham, NC",6/15/1989
Hazle,Hegmann,"Charlotte, NC",11/29/1988
Harvey,Heller,"Austin, TX",3/17/1980
Kadin,Hilll,"Cary, NC",10/24/1976
Linnie,Hintz,"Cary, NC",13-Jun-66
December,Hintz,"Charlotte, NC",4/25/2005
Gaston,Hirthe,"San Diego, CA",2/28/1963
Natalia,Hodkiewicz,"Chicago, IL",8/1/1964
Telly,Hoeger,"Raleigh, NC",3/16/1981
Newton,Howe,"Durham, NC",5/1/1999
